City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,Old Town,50.087,14.4202,39.4,94,90,4.0,CZ,2021-12-13 00:07:58
332,Labuan,5.2767,115.2417,80.76,79,73,5.39,MY,2021-12-13 00:07:58
333,Turukhansk,65.8167,87.9833,-11.47,92,100,4.25,RU,2021-12-13 00:07:59
334,Baruun-Urt,46.6806,113.2792,13.21,61,3,20.38,MN,2021-12-13 00:07:59
335,Fare,-16.7,-151.0167,80.73,75,71,11.54,PF,2021-12-13 00:07:59
336,Jiuquan,39.7432,98.5174,16.79,44,0,2.19,CN,2021-12-13 00:08:00
337,Auki,-8.7676,160.7034,86.52,70,93,12.08,SB,2021-12-13 00:08:00
338,Hervey Bay,-25.2986,152.8535,86.04,69,33,5.01,AU,2021-12-13 00:08:00
339,Manama,26.2154,50.5832,66.18,72,0,8.05,BH,2021-12-13 00:08:01
340,Menongue,-14.6585,17.691,63.3,95,95,0.94,AO,2021-12-13 00:08:01
341,Pueblo,38.2545,-104.6091,65.91,12,1,20.71,US,2021-12-13 00:04:25
342,Usinsk,65.9939,57.5281,7.43,97,95,10.94,RU,2021-12-13 00:08:01
343,Berlevag,70.8578,29.0864,24.8,90,95,15.41,NO,2021-12-13 00:08:02
344,Nome,64.5011,-165.4064,-14.73,70,1,0.0,US,2021-12-13 00:08:02
345,Asfi,32.2994,-9.2372,62.4,59,1,2.19,MA,2021-12-13 00:08:02
346,Hammerfest,70.6634,23.6821,34.25,100,90,10.36,NO,2021-12-13 00:08:03
347,Sibolga,1.7427,98.7792,75.99,91,100,1.36,ID,2021-12-13 00:08:03
348,Santa Cruz,-17.8,-63.1667,74.66,94,90,5.75,BO,2021-12-13 00:08:03
349,Mount Gambier,-37.8333,140.7667,69.71,64,40,12.66,AU,2021-12-13 00:08:04
350,Salalah,17.0151,54.0924,71.69,43,0,4.61,OM,2021-12-13 00:08:04
351,Insar,53.8653,44.3738,18.16,78,40,9.28,RU,2021-12-13 00:08:04
352,Isangel,-19.55,169.2667,83.71,76,100,11.01,VU,2021-12-13 00:08:05
353,Broken Hill,-31.95,141.4333,89.8,12,5,13.4,AU,2021-12-13 00:08:05
