city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
102,Norman Wells,65.282,-126.8329,-2.16,71,75,14.97,CA,light snow,2021-12-13 04:48:32
103,Tasiilaq,65.6145,-37.6368,33.96,86,100,2.08,GL,overcast clouds,2021-12-13 04:47:16
104,Nogales,31.3086,-110.9422,58.08,50,1,4.61,MX,clear sky,2021-12-13 04:53:04
105,Kovdor,67.5662,30.4758,24.1,95,100,6.15,RU,overcast clouds,2021-12-13 04:53:05
106,Bambous Virieux,-20.3428,57.7575,82.22,74,75,5.75,MU,broken clouds,2021-12-13 04:46:52
107,Cap Malheureux,-19.9842,57.6142,82.47,62,5,10.0,MU,clear sky,2021-12-13 04:53:05
108,Castro,-24.7911,-50.0119,63.61,80,98,3.98,BR,overcast clouds,2021-12-13 04:47:31
109,Peace River,56.2501,-117.286,5.31,85,90,16.11,CA,light snow,2021-12-13 04:42:59
110,Port Blair,11.6667,92.75,84.24,65,40,11.5,IN,scattered clouds,2021-12-13 04:46:06
111,Hurup,56.7494,8.4195,43.7,92,91,10.58,DK,overcast clouds,2021-12-13 04:53:06
112,Bandarbeyla,9.4942,50.8122,78.22,70,0,21.99,SO,clear sky,2021-12-13 04:53:06
113,Luderitz,-26.6481,15.1594,61.99,72,3,11.65,NA,clear sky,2021-12-13 04:47:29
114,Mundo Nuevo,18.7,-95.5,73.53,84,100,13.96,MX,overcast clouds,2021-12-13 04:53:07
115,Port Hedland,-20.3167,118.5667,95.05,52,1,17.27,AU,clear sky,2021-12-13 04:53:07
116,Ust-Maya,60.4167,134.5333,-32.08,99,60,0.96,RU,broken clouds,2021-12-13 04:48:48
117,Gizo,-8.103,156.8419,85.5,73,34,11.12,SB,light rain,2021-12-13 04:49:48
118,Thompson,55.7435,-97.8558,-0.24,85,75,3.44,CA,light snow,2021-12-13 04:46:44
119,Lavra,41.2594,-8.7185,54.21,85,0,16.11,PT,clear sky,2021-12-13 04:53:08
120,Kununurra,-15.7667,128.7333,105.78,27,76,5.75,AU,broken clouds,2021-12-13 04:46:49
121,East London,-33.0153,27.9116,70.74,78,0,3.44,ZA,clear sky,2021-12-13 04:45:21
122,Borovskoy,53.8,64.15,8.67,86,62,7.72,KZ,broken clouds,2021-12-13 04:53:08
123,Pavlogradka,54.2024,73.5592,8.46,94,98,9.89,RU,overcast clouds,2021-12-13 04:53:09
124,Fiumicino,41.7675,12.2291,45.07,72,0,4.61,IT,clear sky,2021-12-13 04:53:09
125,Hawalli,29.2833,47.9972,57.56,64,0,3.44,KW,clear sky,2021-12-13 04:53:09
126,Marsh Harbour,26.5412,-77.0636,75.97,76,4,11.74,BS,clear sky,2021-12-13 04:53:10
127,Marin,38.0666,-122.7344,53.35,94,90,3.0,US,light rain,2021-12-13 04:53:10
128,Samarinda,-0.5,117.15,85.6,65,96,4.03,ID,overcast clouds,2021-12-13 04:53:10
129,Rovaniemi,66.5,25.7167,29.61,100,90,9.22,FI,light snow,2021-12-13 04:53:11
130,Salinopolis,-0.6136,-47.3561,80.58,81,68,10.36,BR,broken clouds,2021-12-13 04:47:24
131,Razdolnoye,43.55,131.9167,19.81,35,5,7.7,RU,clear sky,2021-12-13 04:53:11
132,Marzuq,14.4,46.4667,58.03,52,0,5.01,YE,clear sky,2021-12-13 04:53:11
133,Golden,39.7555,-105.2211,49.69,34,1,3.0,US,clear sky,2021-12-13 04:50:01
134,Tsiroanomandidy,-18.7667,46.0333,77.36,47,85,7.96,MG,overcast clouds,2021-12-13 04:53:12
135,Hobart,-42.8794,147.3294,82.02,57,75,1.99,AU,broken clouds,2021-12-13 04:47:03
136,Senneterre,48.3835,-77.2328,35.82,85,100,11.99,CA,overcast clouds,2021-12-13 04:53:12
137,Dryden,49.7833,-92.7503,30.49,93,90,5.75,CA,light snow,2021-12-13 04:50:41
138,Kruisfontein,-34.0033,24.7314,66.88,98,100,4.38,ZA,light rain,2021-12-13 04:47:02
139,Nador,35.174,-2.9287,59.25,88,40,3.44,MA,scattered clouds,2021-12-13 04:46:55
140,Nikolskoye,59.7035,30.7861,26.02,98,100,3.67,RU,snow,2021-12-13 04:47:37
141,Chacabuco,-34.6417,-60.4739,62.64,92,51,5.57,AR,broken clouds,2021-12-13 04:48:53
142,Namatanai,-3.6667,152.4333,86.4,67,97,6.53,PG,overcast clouds,2021-12-13 04:47:27
143,Gladstone,-23.85,151.25,87.78,48,40,16.11,AU,scattered clouds,2021-12-13 04:53:14
144,Berlevag,70.8578,29.0864,33.8,95,96,13.89,NO,light snow,2021-12-13 04:49:04
145,Ilulissat,69.2167,-51.1,15.82,67,46,1.14,GL,scattered clouds,2021-12-13 04:47:31
146,Airai,-8.9266,125.4092,73.4,69,82,1.5,TL,broken clouds,2021-12-13 04:46:56
147,Lebu,-37.6167,-73.65,49.93,86,83,8.43,CL,broken clouds,2021-12-13 04:47:04
148,Bluff,-46.6,168.3333,61.81,75,55,16.22,NZ,broken clouds,2021-12-13 04:46:56
149,Frunze,48.6686,38.7544,32.0,59,100,16.89,UA,overcast clouds,2021-12-13 04:53:14
150,Sur,22.5667,59.5289,75.56,54,30,9.93,OM,scattered clouds,2021-12-13 04:53:15
151,Teruel,40.6667,-0.6667,35.56,52,96,3.31,ES,overcast clouds,2021-12-13 04:53:15
152,Pryazha,61.6926,33.6216,16.83,98,100,1.74,RU,light snow,2021-12-13 04:53:15
153,Pevek,69.7008,170.3133,-32.64,96,10,2.37,RU,clear sky,2021-12-13 04:47:39
154,Tongchuan,35.0806,109.0897,40.5,43,6,4.72,CN,clear sky,2021-12-13 04:53:16
155,Waipawa,-41.4122,175.5153,68.45,80,100,5.19,NZ,overcast clouds,2021-12-13 04:49:05
156,Umm Lajj,25.0213,37.2685,75.56,28,100,4.54,SA,overcast clouds,2021-12-13 04:53:16
157,Balakhninskiy,58.0106,114.2769,1.08,85,100,5.68,RU,overcast clouds,2021-12-13 04:53:17
158,Kamenka,51.3223,42.7678,18.75,55,100,13.15,RU,overcast clouds,2021-12-13 04:53:17
159,Maple Creek,49.9168,-109.4848,32.41,68,31,4.61,CA,scattered clouds,2021-12-13 04:53:17
160,Belmonte,-15.8631,-38.8828,75.7,87,89,6.31,BR,overcast clouds,2021-12-13 04:49:21
161,Inirida,3.8653,-67.9239,72.99,92,88,1.63,CO,overcast clouds,2021-12-13 04:53:18
162,Yeppoon,-23.1333,150.7333,87.58,60,8,16.67,AU,clear sky,2021-12-13 04:53:18
163,Dicabisagan,17.0818,122.4157,78.87,69,74,11.27,PH,broken clouds,2021-12-13 04:53:18
164,Maniitsoq,65.4167,-52.9,20.91,60,4,6.11,GL,clear sky,2021-12-13 04:53:19
165,Ituporanga,-27.4144,-49.6025,67.53,98,78,1.48,BR,broken clouds,2021-12-13 04:53:19
166,Okhotsk,59.3833,143.3,5.77,74,100,16.37,RU,overcast clouds,2021-12-13 04:53:19
167,Port Hardy,50.6996,-127.4199,39.2,86,75,8.05,CA,broken clouds,2021-12-13 04:47:01
168,Senanga,-16.1167,23.2667,74.98,59,82,6.82,ZM,broken clouds,2021-12-13 04:49:41
169,Lompoc,34.6391,-120.4579,51.78,85,1,5.75,US,clear sky,2021-12-13 04:46:50
170,Machhlishahr,25.6833,82.4167,60.75,38,1,1.12,IN,clear sky,2021-12-13 04:53:20
171,Tomatlan,19.9333,-105.25,71.42,92,16,3.74,MX,few clouds,2021-12-13 04:47:24
172,Bahia De Caraquez,-0.6,-80.4167,75.38,93,99,3.56,EC,light rain,2021-12-13 04:53:20
173,Tiznit,29.5833,-9.5,58.89,42,95,6.31,MA,overcast clouds,2021-12-13 04:49:40
174,Montlucon,46.3333,2.6,39.49,93,60,4.29,FR,broken clouds,2021-12-13 04:53:21
175,Manta,-0.95,-80.7333,74.98,88,90,2.3,EC,moderate rain,2021-12-13 04:48:08
176,Anadyr,64.75,177.4833,5.5,78,75,26.84,RU,broken clouds,2021-12-13 04:53:21
177,Namibe,-15.1961,12.1522,69.42,82,100,2.06,AO,overcast clouds,2021-12-13 04:47:44
178,Itarema,-2.9248,-39.9167,80.56,77,94,13.29,BR,overcast clouds,2021-12-13 04:53:22
179,Barrow,71.2906,-156.7887,-14.78,76,1,10.36,US,clear sky,2021-12-13 04:47:36
180,Saint-Pierre,-21.3393,55.4781,82.29,61,0,23.02,RE,clear sky,2021-12-13 04:49:59
181,Akyab,20.15,92.9,80.49,47,2,5.12,MM,clear sky,2021-12-13 04:48:06
182,Naze,28.3667,129.4833,59.92,63,95,16.06,JP,overcast clouds,2021-12-13 04:46:44
183,Ukiah,39.1502,-123.2078,52.43,96,20,3.44,US,few clouds,2021-12-13 04:53:22
184,Pisco,-13.7,-76.2167,64.45,94,0,10.36,PE,clear sky,2021-12-13 04:48:47
185,Tabuk,17.4189,121.4443,74.12,75,100,7.31,PH,overcast clouds,2021-12-13 04:53:23
186,Concepcion,-36.827,-73.0498,53.4,76,0,10.36,CL,clear sky,2021-12-13 04:52:00
187,Sao Filipe,14.8961,-24.4956,74.66,72,84,8.32,CV,broken clouds,2021-12-13 04:47:41
188,Itaquyry,-24.9333,-55.2167,77.22,94,78,3.06,PY,broken clouds,2021-12-13 04:53:23
189,Goundam,16.4145,-3.6708,70.27,14,44,8.03,ML,scattered clouds,2021-12-13 04:53:24
190,Gorele,41.0308,39.0031,53.04,46,51,8.39,TR,broken clouds,2021-12-13 04:53:24
191,Dikson,73.5069,80.5464,-16.42,95,84,18.75,RU,broken clouds,2021-12-13 04:47:34
192,San Cristobal,7.7669,-72.225,68.18,91,73,2.86,VE,broken clouds,2021-12-13 04:47:43
193,Graham,47.0529,-122.2943,37.89,94,1,0.0,US,clear sky,2021-12-13 04:53:25
194,Teguise,29.0605,-13.564,55.62,82,0,9.22,ES,clear sky,2021-12-13 04:53:25
195,Jalingo,8.8833,11.3667,73.29,27,10,4.14,NG,clear sky,2021-12-13 04:53:26
196,Athabasca,54.7169,-113.2854,10.22,97,72,4.16,CA,broken clouds,2021-12-13 04:53:26
197,Ponta Do Sol,32.6667,-17.1,63.72,78,41,2.33,PT,scattered clouds,2021-12-13 04:48:00
198,Grenfell,-33.9,148.1667,82.45,24,0,6.55,AU,clear sky,2021-12-13 04:53:26
199,Caraz,-9.0486,-77.81,57.24,88,73,1.16,PE,broken clouds,2021-12-13 04:53:27
200,Quatre Cocos,-20.2078,57.7625,82.09,69,13,12.91,MU,few clouds,2021-12-13 04:50:09
201,Santa Rosa,14.3122,121.1114,87.78,68,96,17.29,PH,overcast clouds,2021-12-13 04:53:27
202,Manitowoc,44.0667,-87.8001,42.82,64,1,3.0,US,clear sky,2021-12-13 04:53:27
203,Shu,43.5983,73.7614,40.35,64,99,5.23,KZ,overcast clouds,2021-12-13 04:53:28
204,Safaga,26.7292,33.9365,62.55,50,100,2.1,EG,overcast clouds,2021-12-13 04:53:28
205,Morlaix,48.5833,-4.0,50.32,93,90,11.5,FR,overcast clouds,2021-12-13 04:50:43
206,Sofikon,37.8,23.05,49.3,74,74,7.16,GR,broken clouds,2021-12-13 04:53:28
207,Port-Gentil,-0.7193,8.7815,79.52,87,100,10.94,GA,overcast clouds,2021-12-13 04:53:29
208,Korla,41.7597,86.1469,25.29,53,11,3.29,CN,few clouds,2021-12-13 04:48:56
209,Faanui,-16.4833,-151.75,81.16,72,100,8.7,PF,light rain,2021-12-13 04:48:24
210,Ponta Delgada,37.7333,-25.6667,57.51,62,40,9.22,PT,scattered clouds,2021-12-13 04:49:26
211,Skibbereen,51.55,-9.2667,44.4,82,100,2.62,IE,overcast clouds,2021-12-13 04:49:27
212,Mehamn,71.0357,27.8492,44.78,90,100,4.79,NO,overcast clouds,2021-12-13 04:53:30
213,Mwinilunga,-11.7358,24.4293,63.46,96,84,3.06,ZM,light rain,2021-12-13 04:53:30
214,Leh,34.1667,77.5833,14.74,68,71,2.26,IN,broken clouds,2021-12-13 04:53:30
215,Stornoway,58.2093,-6.3865,42.76,86,20,5.99,GB,few clouds,2021-12-13 04:53:31
216,Huarmey,-10.0681,-78.1522,66.96,86,55,6.91,PE,broken clouds,2021-12-13 04:49:33
217,Biak,-0.9131,122.8766,85.08,68,59,3.31,ID,broken clouds,2021-12-13 04:48:21
218,Roebourne,-20.7833,117.1333,100.99,21,3,14.74,AU,clear sky,2021-12-13 04:53:31
219,Mongo,12.1844,18.693,70.0,18,48,4.38,TD,scattered clouds,2021-12-13 04:53:31
220,Vila Franca Do Campo,37.7167,-25.4333,57.2,57,100,13.0,PT,overcast clouds,2021-12-13 04:49:26
221,Clyde River,70.4692,-68.5914,-18.54,99,91,4.85,CA,overcast clouds,2021-12-13 04:49:49
222,Kodiak,57.79,-152.4072,11.71,62,40,17.27,US,scattered clouds,2021-12-13 04:47:40
223,Beringovskiy,63.05,179.3167,6.46,96,100,9.08,RU,light snow,2021-12-13 04:49:06
224,Warman,52.3168,-106.5679,21.11,86,75,3.44,CA,broken clouds,2021-12-13 04:53:32
225,Kathmandu,27.7167,85.3167,55.62,62,20,2.3,NP,haze,2021-12-13 04:45:54
226,Vila Velha,-20.3297,-40.2925,76.95,87,75,4.0,BR,broken clouds,2021-12-13 04:43:56
227,Mogadishu,2.0371,45.3438,81.14,73,87,17.81,SO,overcast clouds,2021-12-13 04:48:44
228,Yatou,37.15,122.3833,39.04,40,12,7.09,CN,few clouds,2021-12-13 04:53:33
229,Uray,60.1247,64.7758,7.16,95,93,3.0,RU,overcast clouds,2021-12-13 04:47:58
230,Arraial Do Cabo,-22.9661,-42.0278,74.98,95,100,10.25,BR,overcast clouds,2021-12-13 04:47:32
231,Upernavik,72.7868,-56.1549,6.85,93,100,12.48,GL,overcast clouds,2021-12-13 04:47:30
232,Souillac,-20.5167,57.5167,82.36,74,75,5.75,MU,broken clouds,2021-12-13 04:49:28
233,Muli,2.9167,73.5667,80.64,75,66,3.96,MV,broken clouds,2021-12-13 04:53:34
234,Haines Junction,60.7522,-137.5108,-7.65,59,100,9.22,CA,overcast clouds,2021-12-13 04:44:17
235,Arlit,18.7369,7.3853,65.7,9,94,7.76,NE,overcast clouds,2021-12-13 04:53:34
236,Dingle,10.9995,122.6711,81.99,82,84,12.19,PH,broken clouds,2021-12-13 04:47:00
237,Selma,36.5708,-119.6121,54.93,78,100,7.25,US,overcast clouds,2021-12-13 04:53:35
238,Awjilah,29.1081,21.2869,51.58,79,1,5.84,LY,clear sky,2021-12-13 04:50:01
239,Salalah,17.0151,54.0924,71.69,46,0,5.75,OM,clear sky,2021-12-13 04:46:52
240,Fairbanks,64.8378,-147.7164,-12.78,71,1,0.0,US,light snow,2021-12-13 04:45:16
241,Batemans Bay,-35.7167,150.1833,88.2,60,1,7.16,AU,clear sky,2021-12-13 04:53:35
242,Qandala,11.472,49.8728,77.14,65,13,10.87,SO,few clouds,2021-12-13 04:53:36
243,Tambopata,-12.7333,-69.1833,73.47,96,100,3.56,PE,overcast clouds,2021-12-13 04:48:41
244,Radhanpur,23.8333,71.6,74.3,29,0,3.24,IN,clear sky,2021-12-13 04:53:36
245,Severnoye,56.3491,78.3619,10.51,95,100,4.41,RU,light snow,2021-12-13 04:53:36
246,Karaidel,55.8337,56.9069,5.97,95,78,3.74,RU,broken clouds,2021-12-13 04:53:37
247,Road Town,18.4167,-64.6167,78.89,76,13,22.77,VG,few clouds,2021-12-13 04:49:50
248,Auki,-8.7676,160.7034,82.08,87,87,11.25,SB,overcast clouds,2021-12-13 04:53:37
249,Coquimbo,-29.9533,-71.3436,58.73,82,0,2.3,CL,clear sky,2021-12-13 04:46:21
250,Zinder,13.8072,8.9881,63.34,12,40,10.83,NE,scattered clouds,2021-12-13 04:53:38
251,Viedma,-40.8135,-62.9967,60.44,53,72,7.9,AR,broken clouds,2021-12-13 04:48:23
252,Liverpool,53.4106,-2.9779,52.14,84,75,10.36,GB,broken clouds,2021-12-13 04:53:38
253,Severo-Kurilsk,50.6789,156.125,32.41,84,55,3.76,RU,broken clouds,2021-12-13 04:49:17
254,Pringsewu,-5.3582,104.9744,89.26,56,64,2.64,ID,broken clouds,2021-12-13 04:53:38
255,Mangrol,21.1167,70.1167,78.06,47,0,7.27,IN,clear sky,2021-12-13 04:53:39
256,Navolato,24.7672,-107.6944,66.13,87,43,4.23,MX,scattered clouds,2021-12-13 04:53:39
257,Geraldton,-28.7667,114.6,81.01,39,0,13.8,AU,clear sky,2021-12-13 04:48:51
258,Saldanha,-33.0117,17.9442,62.65,91,5,14.18,ZA,clear sky,2021-12-13 04:47:05
259,Bilma,18.6853,12.9164,59.07,14,13,8.32,NE,few clouds,2021-12-13 04:53:40
260,Norden,53.6,7.2,50.92,97,100,13.35,DE,overcast clouds,2021-12-13 04:53:40
261,Hasaki,35.7333,140.8333,57.29,30,44,16.4,JP,scattered clouds,2021-12-13 04:48:34
