City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Goundam,ML,70.27,scattered clouds,16.4145,-3.6708,Goundam
195,Jalingo,NG,73.29,clear sky,8.8833,11.3667,Jalingo
198,Grenfell,AU,82.45,clear sky,-33.9,148.1667,Grenfell
200,Quatre Cocos,MU,82.09,few clouds,-20.2078,57.7625,Central Flacq
201,Santa Rosa,PH,87.78,overcast clouds,14.3122,121.1114,Santa Rosa
207,Port-Gentil,GA,79.52,overcast clouds,-0.7193,8.7815,Port-Gentil
209,Faanui,PF,81.16,light rain,-16.4833,-151.75,Vaitape
217,Biak,ID,85.08,broken clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
219,Mongo,TD,70.0,scattered clouds,12.1844,18.693,Mongo
226,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Vila Velha
227,Mogadishu,SO,81.14,overcast clouds,2.0371,45.3438,Mogadishu
230,Arraial Do Cabo,BR,74.98,overcast clouds,-22.9661,-42.0278,Arraial do Cabo
232,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Souillac
233,Muli,MV,80.64,broken clouds,2.9167,73.5667,Muli
236,Dingle,PH,81.99,broken clouds,10.9995,122.6711,Pototan
239,Salalah,OM,71.69,clear sky,17.0151,54.0924,Salalah
241,Batemans Bay,AU,88.2,clear sky,-35.7167,150.1833,Batemans Bay
242,Qandala,SO,77.14,few clouds,11.472,49.8728,Qandala
243,Tambopata,PE,73.47,overcast clouds,-12.7333,-69.1833,Chonta
244,Radhanpur,IN,74.3,clear sky,23.8333,71.6,Radhanpur
247,Road Town,VG,78.89,few clouds,18.4167,-64.6167,Road Town
248,Auki,SB,82.08,overcast clouds,-8.7676,160.7034,Auki
254,Pringsewu,ID,89.26,broken clouds,-5.3582,104.9744,Margakaja
255,Mangrol,IN,78.06,clear sky,21.1167,70.1167,Mangrol
257,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Geraldton
264,Ulladulla,AU,83.77,clear sky,-35.35,150.4667,Ulladulla
266,Cidreira,BR,71.01,clear sky,-30.1811,-50.2056,CIDREIRA
267,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Kapolei
277,Ambunti,PG,90.18,overcast clouds,-4.2365,142.8448,Ambunti
278,Kavieng,PG,82.74,moderate rain,-2.5744,150.7967,Kavieng
283,Princeton,US,78.03,clear sky,25.5384,-80.4089,Homestead
285,Narasannapeta,IN,77.49,overcast clouds,18.4167,84.05,Narasannapeta
286,Sao Domingos,BR,70.92,light rain,-13.3983,-46.3183,São Domingos
288,Puerto Berrio,CO,71.37,broken clouds,6.4916,-74.4033,Puerto Berrío
291,Nioro,GM,71.74,broken clouds,13.35,-15.75,Nioro
